2.322412917822938017e+00,4.210824252128323231e+00
2.102666577579537233e+00,4.625900672588090679e+00
1.351651585817678303e+00,5.135849962560005366e+00
8.488417358738500340e-01,5.506182246094180499e+00
8.488417358738500340e-01,5.506182246094180499e+00
1.528028211383802848e-01,6.018832666032118972e+00
2.251231576945322832e-01,6.104302154689388971e+00
1.214142100440671612e-01,6.389487098887487448e+00
1.214142100440671612e-01,6.389487098887487448e+00
-6.131430207038998659e-02,6.891964673979623868e+00
6.735288109100412424e-02,7.366738048056120647e+00
1.988248534922949506e-01,8.155569882463879594e+00
1.988248534922949506e-01,8.155569882463879594e+00
2.334642594841886964e-01,8.363406318415245622e+00
6.494624942278269808e-01,9.019653787696377378e+00
8.628570345987802703e-01,9.286396963160070683e+00
8.628570345987802703e-01,9.286396963160070683e+00
1.070693470550146298e+00,9.546192508099279550e+00
1.997220232512453064e+00,1.009139453656434426e+01
2.234417975549627400e+00,1.040765819394724190e+01
2.234417975549627400e+00,1.040765819394724190e+01
2.390295302513152365e+00,1.061549462989860793e+01
2.486370020658644986e+00,1.081057640837413736e+01
2.528852926480730012e+00,1.149879948269191487e+01
2.528852926480730012e+00,1.149879948269191487e+01
2.615451441460466597e+00,1.290169542536363956e+01
-1.271924059471025492e+00,4.188064294679395005e-01
2.601119934578548509e-01,1.782211262021879961e-01
2.601119934578548509e-01,1.782211262021879961e-01
1.040370587963881377e+00,5.569218817486876194e-02
1.388276205455742485e+00,4.183986197517619576e-02
1.895065474536585803e+00,6.934260650791173042e-01
1.895065474536585803e+00,6.934260650791173042e-01
2.157443957841663540e+00,1.030769829328503029e+00
2.218929286869119277e+00,2.081052360752509767e+00
2.204070548912871352e+00,2.363368381921170602e+00
2.204070548912871352e+00,2.363368381921172379e+00
2.197495972862311131e+00,2.488285326881795712e+00
2.381584102277970239e+00,4.099056459268815011e+00
2.322412917822938017e+00,4.210824252128323231e+00
